ID,Name,Soikkola.Ingrian,Source,Example,Comment
UT083,Is there a dedicated case that expresses a terminative meaning?,1,Laanest 1986:106; Saar 2917:92-93,,"Recently developed case form, alternates with postpositional construction, e.g., kül̆lǟ sā (village.ILL until) 'until the village'."
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Saar 2017:89-90,UT084,The abessive case tends to be replaced by the construction ilman 'without' + partitive.
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Nirvi 1971:307,,There are examples that could be interpreted as adverbs.
UT086,Is there a locative case that expresses goal?,1,Eva Saar (p.c. 2019),UT086,
UT087,Is there a locative case that expresses location?,1,Eva Saar (p.c. 2019),UT087,
UT088,Is there a locative case that expresses source?,1,Eva Saar (p.c. 2019),UT088,
UT089,Is there case syncretism for goal and location marking?,0,Saar 2017:69,,
UT090,Is there case syncretism for location and source marking?,0,Saar 2017:69,,
UT091,Are there two sets of local cases?,1,Laanest 1986:100-104,"UT091-1, UT091-2",
UT092,Are there three or more sets of local cases?,0,Eva Saar (p.c. 2024),,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,0,Saar 2017:93,,"There is no separate case, cf. lapse-ŋ kera (child-GEN with) ’with a child’, kervehe-l (ax-ADE) 'with an ax'. Still, there are some rare examples of the old comitative, e.g., juuri-nee 'with roots' (Nirvi 1971:112)."
UT094,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Eva Saar (p.c. 2019),,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Nirvi 1971:74,UT095,
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",1,Saar 2017:88-89,UT096,
UT097,Is there a dedicated case that expresses equativity?,0,Eva Saar (p.c. 2019),,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Eva Saar (p.c. 2019),,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Eva Saar (p.c. 2019),,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Eva Saar (p.c. 2019),,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Eva Saar (p.c. 2019),,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Eva Saar (p.c. 2019),,
UT103,Are singular and plural possessee distinguished in the possessive declension? ,0,Eva Saar (p.c. 2019),,
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Eva Saar (p.c. 2019),,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,0,Eva Saar (p.c. 2019),,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Eva Saar (p.c. 2019),"UT106-1, UT106-2",
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,1,Eva Saar (p.c. 2019),UT107,"Although ken ’who’ is possible it is more common to use kumʙi ’which, what, who’ as a relative pronoun for animates other than humans (but kumʙi is also used for humans)."
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Eva Saar (p.c. 2019),,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,Eva Saar (p.c. 2019),UT109,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",1,Eva Saar (p.c. 2019),"UT110-1, UT110-2",
UT111,Are case and number marked cumulatively across the paradigm?,0,Eva Saar (p.c. 2019),,
UT112,Are there different words for mother’s brother and father’s brother?,1,Eva Saar (p.c. 2019),"UT112-1, UT112-2",
UT113,Are there different words for younger and older relatives for relations other than siblings?,0,Eva Saar (p.c. 2019),,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,0,Eva Saar (p.c. 2019),,
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Eva Saar (p.c. 2019),,
UT116,Is there contrastive length for consonants?,1,Markus and Rozhanskiy_Ingrian 2022:311,"UT116-1, UT116-2",
UT117,Is there contrastive length for vowels?,1,Markus and Rozhanskiy_Ingrian 2022:311,"UT117-1, UT117-2",
UT118,Is there a contrast between short and long unstressed vowels?,1,Markus and Rozhanskiy_Ingrian 2022:311,"UT118-1, UT118-2, UT118-3, UT118-4",
UT119,Is there a contrast in the length of geminate consonants?,1,Markus and Rozhanskiy_Ingrian 2022:311,"UT119-1, UT119-2",
UT120,Are there more than two phonological quantities?,1,Markus and Rozhanskiy_Ingrian 2022:311,"UT120-1, UT120-2, UT120-3",
UT121,Are there extralong syllables?,1,Nirvi 1971:mürskü,UT121,
UT122,Is the main foot structure trochaic?,1,Saar 2017:63,UT122,
UT123,Is there lexically distinctive word stress?,0,Saar 2017:63-64,,
UT124,Is there morphologically conditioned stress?,1,Eva Saar (p.c. 2019),"UT124-1, UT124-2",
UT125,Is there fixed primary stress?,1,Saar 2017:63,UT125,
UT126,Is there stress in heavy syllables?,0,Eva Saar (p.c. 2019),,
UT127,Is there non-initial primary stress?,0,Eva Saar (p.c. 2019),,
UT128,Is there palatal vowel harmony?,1,Saar 2017:46,UT128,
UT129,Is there velar vowel harmony?,0,Eva Saar (p.c. 2019),,
UT130,Is there labial vowel harmony?,0,Eva Saar (p.c. 2019),,
UT131,Are there closing diphthongs?,1,Markus and Rozhanskiy_Ingrian 2022:309,"UT131-1, UT131-2",
UT132,Are there opening diphthongs?,1,Markus and Rozhanskiy_Ingrian 2022:309,"UT132-1, UT132-2",
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Eva Saar (p.c. 2019),,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Eva Saar (p.c. 2019),,
UT135,Is there a high front rounded vowel /y/?,1,Saar 2017:46,UT135,
UT136,Is there a mid-high front rounded vowel /ø/?,1,Saar 2017:46,"UT136-1, UT136-2",
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Saar 2017:46,,"In contemporary Soikkola Ingrian, the high central vowel ɨ appears in Russian loanwords (rɨnkka ‘market’, rɨbakka ‘fisherman’) (Markus and Rozhanskiy_Ingrian 2022:309)."
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Saar 2017:46,,
UT139,Is there a low back rounded vowel /ɒ/?,0,Saar 2017:46,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Saar 2017:46,"UT140-1, Ut140-2",
UT141,Are there word-initial consonant clusters?,1,Laanest 1986:13-14,UT141,
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Eva Saar (p.c. 2019),,
UT143,Are there consonant clusters in the syllable coda?,1,Eva Saar (p.c. 2019),UT143,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Nirvi 1971:mürskü,UT144,
UT145,Are there word-final clusters of three or more consonants?,0,Eva Saar (p.c. 2019),,
UT146,Are there palatalized alveolar consonants?,0,Laanest 1986:64-65,,"The palatalized t', ń, l', ŕ mostly occur in Russian loanwords (t'ot̆taa ‘aunt’, końuhka ‘groom’, bol'nitsa ‘hospital’, kul'l'aittaa ‘celebrate’, ŕumka ‘shotglass’) (Markus and Rozhanskiy_Ingrian 2022:311)."
UT147,Are there palatalized labial and velar consonants?,0,Laanest 1986:64-65,,
UT148,Is there a palatal stop?,0,Laanest 1986:12-39,,
UT149,Is there a palatal nasal /ɲ/?,0,Laanest 1986:in passim,,
UT150,Is there a palatal lateral /ʎ/?,0,Laanest 1986:in passim,,
UT151,Is there a velar nasal /ŋ/?,0,Laanest 1986:in passim,,"Only as an allophone, e.g., hengi [ˈheŋ.gi] (heŋɢi) 'soul'."
UT152,Is there an alveolar affricate /t͡s/?,0,Laanest 1986:in passim,,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Laanest 1986:40,"UT153-1, UT153-2, UT153-3","The sound occurs in proper vocabulary, in onomatopoeic-descriptive vocabulary and in Russian loanwords. (Laanest 1986:40)"
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,Laanest 1986:40-42,,There is a recent overall drift s > š [ʃ] (past 40 years).
UT155,"Are there voiced plosives (e.g., /b g d/)?",0,Laanest 1986:12-39,,"Only coarticulatory, e.g., kagla [ˈkag.la] 'neck', tedri 'grouse' (in positions where it precedes a sonorant)."
UT156,Is there a glottal stop /ʔ/?,0,Laanest 1986:12-39,,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Laanest 1986:12-39,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Laanest 1986:in passim,,
UT159,Is there a laryngeal fricative /h/?,1,Laanest 1986:42-46,UT159,
UT160,Is there a voiced velar fricative /ɣ/?,0,Laanest 1986:in passim,,
UT161,Is there a voiceless velar fricative /x/?,0,Laanest 1986:in passim,,
UT162,Is there a voiced dental fricative /ð/?,0,Laanest 1986:in passim,,
UT163,Is there a labio-velar approximant /w/?,0,Laanest 1986:in passim,,
UT164,Is there a voiceless labiodental fricative /f/?,0,Markus and Rozhanskiy_Ingrian 2022:311,,"According to Markus and Rozhanskiy (2022:311) f is found only in borrowings: lafkoi 'shop', šof̆feeri 'car driver', flagu 'flag'; but it also occurs in some onomatopoetic-descriptive words, e.g., furskaᴅa 'to snort' (see Nirvi 1971:f-)."
UT165,Is there radical qualitative consonant gradation?,1,Saar 2017:55-58,UT165,
UT166,Is there quantitative consonant gradation?,1,Saar 2017:55-56,UT166,
