ID,Name,Nganasan,Source,Example,Comment
UT053,Are there special negative non-finite forms?,1,Wagner-Nagy 2019:266-267,UT053,The abessive participle.
UT054,Is there an impersonal passive construction?,1,Wagner-Nagy 2019:295,,Passive structures can be formed from both transitive and intransitive verbs.
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",0,Wagner-Nagy 2019:263-268,,
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,1,Wagner-Nagy 2019:263-268,,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Wagner-Nagy 2019:263-268,,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Wagner-Nagy 2019:266,UT058,The abessive participle refers to actions that have not yet occurred.
UT059,Is there a future participle?,0,Wagner-Nagy 2019:263,,"However, the necessitative participle has also been treated as a future participle. "
UT060,Are there participles that can encode their subject with possessive suffixes?,1,Wagner-Nagy 2019:265,UT060,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Wagner-Nagy 2019:263,,Participles show only partial agreement in case.
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Wagner-Nagy 2022:770,,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Wagner-Nagy 2019:516,UT064,"However, there is a separate suffix to indicate professioals, e.g. basu-Ɂsʲi ‘professional hunter’."
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Wagner-Nagy 2022:769-770,,
UT066,Is OV the neutral order in affirmative imperative clauses?,1,Wagner-Nagy 2019:244-245,UT066,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,Wagner-Nagy 2019:388,,"The negative verb must precede the main verb, e.g., ŋanuďətə ŋəmsu ŋuəi-kalʲi-Ɂ ńi-Ɂ mətu-Ɂ [ordinary meat one-CAR-ADV NEGAUX-IMP.2SG cut-CNG] ‘Don’t cut an ordinary meat!’"
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Wagner-Nagy 2019:534,,"However, there is a suffix that can be used in the attenuative meaning (i.e. to do something a bit)."
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Beáta Wagner-Nagy (p.c. 2020),,
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,0,Beáta Wagner-Nagy (p.c. 2020),,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Wagner-Nagy 2019:350,UT073,
UT074,Is there a bound superlative degree marker on property words?,0,Wagner-Nagy 2019:392,,Analytic constructions are used.
UT075,Can adpositions have person/number marking?,1,Wagner-Nagy 2019:152,UT075,
UT076,Are there adpositions that show a tripartite system?,1,Wagner-Nagy 2019:153,,"E.g., lative: ńi ‘onto’, locative: ńini, elative: ńitə, prolative: ńimənɨ."
UT077,Is there case compounding?,0,Wagner-Nagy 2019:193-201,,
UT078,Are there morphological cases only used with pronouns?,0,Wagner-Nagy 2019:106,,
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Wagner-Nagy 2019:158,,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Wagner-Nagy 2019:158,UT080,Plural or dual is rarely used.
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Wagner-Nagy 2019:196-197,,The lative is also used to express the recipient and the beneficiary.
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Wagner-Nagy 2019:191,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,0,Wagner-Nagy 2019:191,,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,1,Wagner-Nagy 2019:200,UT085,Prolative is used to mark direction.
UT086,Is there a locative case that expresses goal?,1,Wagner-Nagy 2019:196,UT086,
UT087,Is there a locative case that expresses location?,1,Wagner-Nagy 2019:197,UT087,
UT088,Is there a locative case that expresses source?,1,Wagner-Nagy 2019:199,UT088,
UT089,Is there case syncretism for goal and location marking?,0,Wagner-Nagy 2019:196-200,,
UT090,Is there case syncretism for location and source marking?,0,Wagner-Nagy 2019:196-200,,
UT091,Are there two sets of local cases?,0,Wagner-Nagy 2019:191,,
UT092,Are there three or more sets of local cases?,0,Wagner-Nagy 2019:191,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Wagner-Nagy 2019:188-189,UT093,The suffix has been recently developed from the lative postposition na.
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Wagner-Nagy 2019:761-762,,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,0,Wagner-Nagy 2019:188,,
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Wagner-Nagy 2019:188,,
UT097,Is there a dedicated case that expresses equativity?,0,Wagner-Nagy 2022:761-763,,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,1,Wagner-Nagy 2019:210,UT098,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Wagner-Nagy 2019:176,,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Wagner-Nagy 2019:186,,"With paired body parts, dual is typically used. In modern texts also plural can be found."
UT101,Can the marking of the possessor in the attributive construction vary?,1,Wagner-Nagy 2019:196,UT101,"The non-pronominal possessor appears in the genitive case, whereas the pronominal possessor occurs in the nominative case (see also UT102)."
UT102,Can the possessor in the attributive construction be encoded with the nominative?,1,Wagner-Nagy 2022:771,UT102,The nominative form is used with pronouns.
UT204,Are singular and plural possessee distinguished in the possessive declension? ,1,Wagner-Nagy 2019:201,,The possessive suffixes refer to the person and number of the possessor but also the number of the possessed.
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,1,Wagner-Nagy 2019:464-465,UT104,The referential use of 2Sg possessive suffix may occur only when the marked NP occurs in the subject position (see also UT105).
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,1,"Wagner-Nagy 2019:463, 209",UT105,Possessive suffixes can be used in the referential function that is similar to the definite article but it cannot be argued that the language has definite articles.
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Wagner-Nagy 2019:122-123,UT106,"The distinction is made between humans vs. non-humans. However, in certain cases, 'what' can also be used for a human referent."
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Wagner-Nagy 2019:105,,There are no relative pronouns.
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Wagner-Nagy 2019:105,,There are no relative pronouns.
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,Wagner-Nagy 2019:106-107,UT109,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Wagner-Nagy 2019:95,,
UT205,Are case and number marked cumulatively across the paradigm?,1,Wagner-Nagy 2019:94-95,,"In plural, the number marker and the case suffix are fused."
UT112,Are there different words for mother’s brother and father’s brother?,1,Wagner-Nagy 2019:472-473,,
UT113,Are there different words for younger and older relatives for relations other than siblings?,1,Wagner-Nagy 2019:472-473,,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,?,Wagner-Nagy 2019:471-503,,
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,?,Wagner-Nagy 2019:488,,
UT116,Is there contrastive length for consonants?,0,Klumpp et al. 2018; Wagner-Nagy 2022:756-757,,
UT117,Is there contrastive length for vowels?,1,Klumpp et al. 2018; Wagner-Nagy 2022:756-757,UT117,There is a binary opposition regarding vowel length; phonologically long vowels constitute two syllables.
UT118,Is there a contrast between short and long unstressed vowels?,0,Pajusalu et al. 2018,,
UT119,Is there a contrast in the length of geminate consonants?,0,Klumpp et al. 2018,,
UT120,Are there more than two phonological quantities?,0,Pajusalu et al. 2018,,
UT121,Are there extralong syllables?,0,Wagner-Nagy 2019:63; Wagner-Nagy 2022:757,,The maximal syllable is CV͡VC; any vowel or diphtong can appear in the nucleus position. 
UT122,Is the main foot structure trochaic?,1,Pajusalu et al. 2018; Wagner-Nagy 2022:760,,
UT123,Is there lexically distinctive word stress?,1,Klumpp et al. 2018,,
UT124,Is there morphologically conditioned stress?,0,Wagner-Nagy 2022:760,,
UT125,Is there fixed primary stress?,1,Wagner-Nagy 2022:760,"UT125-1, UT125-2",Primary stress falls on the penultimate syllable.
UT126,Is there stress in heavy syllables?,0,Wagner-Nagy 2019:73,,"However, words ending in long vowels or vowel sequences trigger stress."
UT127,Is there non-initial primary stress?,1,Pajusalu et al. 2018; Wagner-Nagy 2022:760,,It is possible if a word is trisyllabic or longer.
UT128,Is there palatal vowel harmony?,1,Fejes 2018,"UT128-1, UT128-2",Occurs with limitations.
UT129,Is there velar vowel harmony?,1,Fejes 2018,"UT129-1, UT129-2",Occurs with limitations.
UT130,Is there labial vowel harmony?,1,Fejes 2018,UT130,Occurs with limitations.
UT131,Are there closing diphthongs?,0,Wagner-Nagy 2022:756,,
UT132,Are there opening diphthongs?,1,Fejes 2018; Wagner-Nagy 2022:756,UT132,"Two diphthongs that have phonemic status: /i͡a/ and /u͡a/. However, they have also been interpreted as monophthongs (see Janhunen and Gruzdeva 2020)."
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Pajusalu et al. 2018,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Pajusalu et al. 2018,,
UT135,Is there a high front rounded vowel /y/?,1,Pajusalu et al. 2018; Wagner-Nagy 2022:756,UT135,
UT136,Is there a mid-high front rounded vowel /ø/?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:760,,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,1,Wagner-Nagy 2022:760,UT137,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,1,Wagner-Nagy 2022:760,,
UT139,Is there a low back rounded vowel /ɒ/?,1,Janhunen and Gruzdeva 2020:183,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Janhunen and Gruzdeva 2020,,
UT141,Are there word-initial consonant clusters?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:757,,
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Wagner-Nagy 2019:63; Wagner-Nagy 2022:757,,
UT143,Are there consonant clusters in the syllable coda?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:757,,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:757,,
UT145,Are there word-final clusters of three or more consonants?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:760,,
UT146,Are there palatalized alveolar consonants?,1, Wagner-Nagy 2022:760,"UT146-1, UT146-2",
UT147,Are there palatalized labial and velar consonants?,0,Pajusalu et al. 2018,,
UT148,Is there a palatal stop?,0,Wagner-Nagy 2022:756,,The palatal stop [c] occurs as an allophone of /t͡ʃ/.
UT149,Is there a palatal nasal /ɲ/?,1,Wagner-Nagy 2022:756,UT149,
UT150,Is there a palatal lateral /ʎ/?,0,Wagner-Nagy 2022:756,,
UT151,Is there a velar nasal /ŋ/?,1,Wagner-Nagy 2022:756,UT151,
UT152,Is there an alveolar affricate /t͡s/?,0,Wagner-Nagy 2022:756,,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Wagner-Nagy 2022:756,UT153,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,Wagner-Nagy 2022:756,,
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Wagner-Nagy 2022:756,UT155,"Only /b/ and /g/, whereas /d/ appears as an allophone of /nt/ and in some Russians loanwords. However, see UT162 for a comment by Janhunen and Gruzdeva (2020).  "
UT156,Is there a glottal stop /ʔ/?,1,Wagner-Nagy 2022:756,UT156,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Wagner-Nagy 2022:756,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,1,Wagner-Nagy 2022:756-757,,"/Ɂ/, /j/, and /r/ are not allowed in word-initial position."
UT159,Is there a laryngeal fricative /h/?,1,Wagner-Nagy 2022:756,UT159,
UT160,Is there a voiced velar fricative /ɣ/?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:756,,
UT161,Is there a voiceless velar fricative /x/?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:756,,
UT162,Is there a voiced dental fricative /ð/?,1,Wagner-Nagy 2022:756,UT162,"However, according to Janhunen and Gruzdeva (2020), the intervocalic spirant [ð] and the postnasal voiced stop [d] represent allophones of a single phoneme that could  be rendered as /d/."
UT163,Is there a labio-velar approximant /w/?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:756,,
UT164,Is there a voiceless labiodental fricative /f/?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:756,,
UT165,Is there radical qualitative consonant gradation?,1,Wagner-Nagy 2022:758-759,"UT165-1, UT165-2",
UT166,Is there quantitative consonant gradation?,0,Pajusalu et al. 2018; Wagner-Nagy 2022:756,,No proper consonant geminates at all.
