ID,Name,Tundra.Nenets,Source,Example,Comment
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Nikolaeva 2014:91,UT029,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Nikolaeva 2014:85-106,,"""In the 2nd person the meaning of the necessitative may be close to permissive (Nikolaeva 2014:91)""."
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Nikolaeva 2014:269,UT031,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",1,Nikolaeva 2014:86,UT032,"The horative is used to express exhortations to the first person; it appears in 1SG, 1DU and 1PL."
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Nikolaeva 2014:in passim,,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,1,Nikolaeva 2014:90,UT034,
UT035,Is there a reflexive conjugation?,1,Nikolaeva 2014:78-79,,The reflexive conjugation is formed based on the reflexive stem.
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,1,Nikolaeva 2014:79,UT037,
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Nikolaeva 2014:200,UT200,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,0,Sven-Erik Soosaar (p.c. 2020),,
UT201,Can an infinitival verb form be used in a directive function?,0,Sven-Erik Soosaar (p.c. 2020),,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,0,Nikolaeva 2014:382,,There is the purposive converb (final gerund).
UT044,Are there sentences without overt verbal arguments?,1,Nikolaeva 2014:228,"UT044-1, UT044-2",The subject (god/sky/wheather) can be omitted although it is more common to express the subject.
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,"Nikolaeva 2014:252, 254-255",,
UT202,Is a copula commonly used for predicate nominals in the past tense?,0,"Nikolaeva 2014:252, 254-255",,"The copula is not required in the past and present; the past is expressed on the adjective or noun, as in pidər° xanʹena-nə-sʹ° (you hunter-2SG-PST) 'you were a hunter' (Nikolaeva 2014:254)."
UT047,Can locative constructions commonly occur without a copula?,1,Nikolaeva 2014:263,UT047,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",0,Nikolaeva 2014:414-417,,Coordinating conjunctions can be found but this is not the commonest coordination strategy.
UT049,Does existential negation have a special negator?,1,"Nikolaeva 2014:250, 260",UT049,There are two existential copulas: tənʹa° (affirmative) and yəŋku (negative). Cf. standard negation: pida nʹī məncara-q (he NEG work-CONNEG) 'He did not work / he is not working'.
UT050,Can standard negation be asymmetric in the present tense?,1,Nikolaeva 2014:128,UT050,
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Nikolaeva 2014:305,UT051,"Modal, purposive, and conditional coverbs can be negated like finite verbs."
UT052,Is there a special negator that combines with non-finite forms?,0,Nikolaeva 2014:304,,"For instance, n'iwa negates action nominals."
UT053,Are there special negative non-finite forms?,1,Nikolaeva 2014:107,UT053,
UT054,Is there an impersonal passive construction?,0,Sven-Erik Soosaar (p.c. 2020),,Only transitive verbs are passivized.
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",0,Shagal 2018:71,,
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,1,Shagal 2018:71,,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Shagal 2018:71,,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Nikolaeva 2014:107,UT058,
UT059,Is there a future participle?,1,Nikolaeva 2014:320,UT059,
UT060,Are there participles that can encode their subject with possessive suffixes?,1,Nikolaeva 2014:315,UT060,"When agreeing with the head noun, participles can take possessive suffixes."
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,1,Sven-Erik Soosaar (p.c. 2020),,See UT060.
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Sven-Erik Soosaar (p.c. 2020),,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Sven-Erik Soosaar (p.c. 2020),"UT064-1, UT064-2","There is no special agentive nominalization form, present participles are used regularly as agentive nominalizations."
UT065,Are there non-finite forms that can be used both as participles and converbs?,1,Nikolaeva 2014:378,"UT065-1, UT065-2",
UT066,Is OV the neutral order in affirmative imperative clauses?,1,Nikolaeva 2014:60,UT066,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,Sven-Erik Soosaar (p.c. 2020),,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Nikolaeva 2014:46,,"The diminutive marking on verbs expresses the meaning 'for some time, for a while'."
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,?,Sven-Erik Soosaar (p.c. 2020),,
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,0,Sven-Erik Soosaar (p.c. 2020),,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Nikolaeva 2014:252,UT073,
UT074,Is there a bound superlative degree marker on property words?,0,Nikolaeva 2014:176,,"There is no synthetic superlative. Superlatives are formed with the help of adverbs expressing 'very', 'most', e.g. s'am'anəxət° 'most'."
UT075,Can adpositions have person/number marking?,1,Nikolaeva 2014:51,UT075,Pronominal object can be marked in the postposition.
UT076,Are there adpositions that show a tripartite system?,1,Nikolaeva 2014:51,,"Local postpositions usually appear in the locative (n´ana 'at'), dative (nʹah  'to'), (ablative nʹad° 'from') and prolative form (nʹamna 'along').                                               "
UT077,Is there case compounding?,0,Nikolaeva 2014:60-66,,
UT078,Are there morphological cases only used with pronouns?,0,Nikolaeva 2014:47,,
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Sven-Erik Soosaar (p.c. 2020),,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Nikolaeva 2014:162,,"With numerals the quantified noun can stand in the singular or plural. In Tereshchenko (1965), it is usually in the singular. However, the speakers of the modern language prefer the plural, though may accept
the singular as well."
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Nikolaeva 2014:62,,The dative case also expresses lative meanings.
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Nikolaeva 2014:60-66,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,0,Nikolaeva 2014:38,,There is a caritive adverbial form that ends in -s'iq.
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,1,Nikolaeva 2014:65-66,UT085,
UT086,Is there a locative case that expresses goal?,1,Nikolaeva 2014:62,UT086,The dative case (-n°h ~ -t°h) is used; it is regarded as a local case.
UT087,Is there a locative case that expresses location?,1,Nikolaeva 2014:63-64,UT087,"There is the locative case, which additionally expresses instrumental and comitative meanings, means of transportation as well as cause."
UT088,Is there a locative case that expresses source?,1,Nikolaeva 2014:64-65,UT088,
UT089,Is there case syncretism for goal and location marking?,0,Nikolaeva 2014:62-64,,
UT090,Is there case syncretism for location and source marking?,0,Nikolaeva 2014:63-65,,
UT091,Are there two sets of local cases?,0,Nikolaeva 2014:60-66,,
UT092,Are there three or more sets of local cases?,0,Nikolaeva 2014:60-66,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,0,Nikolaeva 2014:63-64,,The locative case may be used in both functions.
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Nikolaeva 2014:63-64,,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,0,Nikolaeva 2014:60-66,,"The derivational suffix -ngæ appears in a similar function, e.g. li 'bone', lingæ 'as a bone, for a bone'."
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Nikolaeva 2014:60-66,,
UT097,Is there a dedicated case that expresses equativity?,0,Nikolaeva 2014:39,,"However, there is an adverbial form marked by the suffix -(də)r'em."
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,1,NIkolaeva 2014:73,UT098,The predistinative is used.
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Nikolaeva 2014:in passim,,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Nikolaeva 2014:59; Tereschenko 1956:40,,"Paired objects typically stand in plural, still, dual may be encountered as well - 'my eyes’ can be expressed either as sǣw°-xəyu-nʹi (DU) or as sǣw°-nʹi (PL)."
UT101,Can the marking of the possessor in the attributive construction vary?,1,Nikolaeva 2014:143,"UT101-1, UT101-2","Whereas the lexical possessor takes the genitive form, the pronominal possessor appears in the nominative form."
UT102,Can the possessor in the attributive construction be encoded with the nominative?,1,Nikolaeva 2014:142-143,UT102,Pronominal possessor appears in the nominative form.
UT204,Are singular and plural possessee distinguished in the possessive declension? ,1,Nikolaeva 2014:59,"UT204-1, UT204-2",
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,1,Nikolaeva 2014:69,UT104,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,1,Nikolaeva 2014:68-69,UT105,"""[T]he 3rd person singular possessive affixes express identifiability based on deixis and situational context"" (Nikolaeva 2014: 68). Their usage in this function is, however, optional."
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Nikolaeva 2014:265,"UT106-1, UT106-2",
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Sven-Erik Soosaar (p.c. 2020),,
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Sven-Erik Soosaar (p.c. 2020),,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,0,Sven-Erik Soosaar (p.c. 2020),,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Nikolaeva 2014:144,,
UT205,Are case and number marked cumulatively across the paradigm?,0,Nikolaeva 2014:59-66,,
UT112,Are there different words for mother’s brother and father’s brother?,1,Sven-Erik Soosaar (p.c. 2020),,
UT113,Are there different words for younger and older relatives for relations other than siblings?,1,Sven-Erik Soosaar (p.c. 2020),"UT113-1, UT113-2, UT113-3",
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,1,Sven-Erik Soosaar (p.c. 2020),"UT114-1, UT114-2",
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,1,Sven-Erik Soosaar (p.c. 2020),UT115,
UT116,Is there contrastive length for consonants?,0,Burkova 2022:in passim,,
UT117,Is there contrastive length for vowels?,1,Burkova 2022:678-679; Nikolaeva 2014:17,"UT117-1, UT117-2","/iː/, /uː/, /æː/"
UT118,Is there a contrast between short and long unstressed vowels?,0,Burkova 2022:678,,All three vowels are pronounced long or half-long and restricted to word-initial syllables.
UT119,Is there a contrast in the length of geminate consonants?,0,Nikolaeva 2014:17,,"Geminates are not generally typical of Tundra Nenets; if identical consonants become adjacent in the course of morphological derivation, degemination occurs, e.g., nʹum ‘name’ > nʹumʹi ‘my name (1SG)’ (<nʹum-mʹi)."
UT120,Are there more than two phonological quantities?,0,Burkova 2022:in passim,,
UT121,Are there extralong syllables?,0,Burkova 2022:in passim,,
UT122,Is the main foot structure trochaic?,1,Nikolaeva 2014:28,,Bisyllabic trochaic feet aligned to the left.
UT123,Is there lexically distinctive word stress?,1,Burkova 2022:in passim,"UT123-1, UT123-2",
UT124,Is there morphologically conditioned stress?,?,Burkova 2022:in passim,,
UT125,Is there fixed primary stress?,0,Salminen 1998:519,,"Stress is predictable from syllable and segmental structure. It falls on an initial syllable, syllables preceding a syllable with schwa, and non-final syllables precided by am unstressed syllable."
UT126,Is there stress in heavy syllables?,0,Burkova 2022:in passim,,
UT127,Is there non-initial primary stress?,0,Burkova 2022:in passim,,
UT128,Is there palatal vowel harmony?,0,Burkova 2022:681,,It represents a phonetic phenomenon.
UT129,Is there velar vowel harmony?,0,Burkova 2022:681,,It represents a phonetic phenomenon.
UT130,Is there labial vowel harmony?,0,Burkova 2022:681,,
UT131,Are there closing diphthongs?,0,Nikolaeva 2014:28,,
UT132,Are there opening diphthongs?,0,Nikolaeva 2014:28,,"However, the vowel ǣ is pronounced as a raising diphthong in the Eastern dialects (Nikolaeva 2014:17)."
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Burkova 2022:in passim; Nikolaeva 2014:in passim,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,1,Nikolaeva 2014:17-18,,"The over-short vowel ə is typically pronounced as a very short a. The reduced vowel ° is either pronounced as a very short ə, i.e., mid central vowel, or it adds length to the preceding consonant (e.g., in word-final sequences C°q or C°h) or vowel."
UT135,Is there a high front rounded vowel /y/?,0,Nikolaeva 2014:17,,
UT136,Is there a mid-high front rounded vowel /ø/?,0,Nikolaeva 2014:17,,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Nikolaeva 2014:17,,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Salminen 1997; Nikolaeva 2014:17,,There is only allophonic ɤ.
UT139,Is there a low back rounded vowel /ɒ/?,0,Nikolaeva 2014:17,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,0,Nikolaeva 2014:17,,"There is no opposition, since there is only long /æː/."
UT141,Are there word-initial consonant clusters?,0,"Nikolaeva 2014:18, 27",,There are no consonantal clusters word-initially and word-finally; three-consonantal clusters are not allowed.
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Nikolaeva 2014:27,,There are no consonantal clusters word-initially and word-finally; three-consonantal clusters are not allowed.
UT143,Are there consonant clusters in the syllable coda?,0,Nikolaeva 2014:27,,The maximal syllable structure is (C)V(C).
UT144,Are there word-internal intervocalic clusters of three or more consonants?,0,Nikolaeva 2014:27,,There are no consonantal clusters word-initially and word-finally; three-consonantal clusters are not allowed.
UT145,Are there word-final clusters of three or more consonants?,0,Nikolaeva 2014:27,,There are no consonantal clusters word-initially and word-finally; three-consonantal clusters are not allowed.
UT146,Are there palatalized alveolar consonants?,1,"Nikolaeva 2014:19, Burkova 2022:679","UT146-1, UT146-2",
UT147,Are there palatalized labial and velar consonants?,1,"Nikolaeva 2014:19, Burkova 2022:679","UT147-1, UT147-2","Most labial consonants have a palatalized (palato-labial) variant, in Forest Nenets there are palatalized velars as well."
UT148,Is there a palatal stop?,0,"Nikolaeva 2014:19, Burkova 2022:680",,
UT149,Is there a palatal nasal /ɲ/?,1,"Nikolaeva 2014:19, Burkova 2022:680",,
UT150,Is there a palatal lateral /ʎ/?,1,"Nikolaeva 2014:19, Burkova 2022:680",,
UT151,Is there a velar nasal /ŋ/?,1,"Nikolaeva 2014:19, Burkova 2022:680",,
UT152,Is there an alveolar affricate /t͡s/?,1,"Nikolaeva 2014:19, Burkova 2022:680",,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",0,"Nikolaeva 2014:19, Burkova 2022:680",,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,"Nikolaeva 2014:19, Burkova 2022:680",,
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,"Nikolaeva 2014:19, Burkova 2022:680",,"b bʹ d dʹ c cʹ and k only occur in restricted positions, e.g., they do not stand word-initially or in a post-consonantal position, except that postconsonantal b appears as a result of the change of w in some stems"
UT156,Is there a glottal stop /ʔ/?,1,"Janhunen 1986, Nikolaeva 2014:19-20, Burkova 2022:680",,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,"Nikolaeva 2014:19, Burkova 2022:680",,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Nikolaeva 2014:19,,"Like secondary consonants, r and rʹ do not occur word-initially, except in recent loanwords."
UT159,Is there a laryngeal fricative /h/?,0,Nikolaeva 2014:19-21,,
UT160,Is there a voiced velar fricative /ɣ/?,0,"Nikolaeva 2014:19, Burkova 2022:680",,
UT161,Is there a voiceless velar fricative /x/?,1,"Nikolaeva 2014:19, Burkova 2022:680",,
UT162,Is there a voiced dental fricative /ð/?,0,"Nikolaeva 2014:19, Burkova 2022:680",,
UT163,Is there a labio-velar approximant /w/?,1,"Nikolaeva 2014:19, Burkova 2022:680",,
UT164,Is there a voiceless labiodental fricative /f/?,0,"Nikolaeva 2014:19, Burkova 2022:680",,
UT165,Is there radical qualitative consonant gradation?,0,Burkova 2022:in passim,,
UT166,Is there quantitative consonant gradation?,0,Burkova 2022:in passim,,
