ID,Name,Forest.Enets,Source,Example,Comment
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Olesya Khanina (p.c. 2020),,"Passive anterior participle (-duuj) relativizes objects, for all other participles there are frequency tendencies, not strict specializations. "
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,1,"Khanina, Olesya (p.c. 2020)","UT056-1, UT056-2","All participles are unoriented, except passive anterior participle. (The perfective participle has two allomorphs: -iʔ and -miʔ)."
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,1,Khanina and Shluinsky 2023:844,UT057,Relativization of participants other than subject and object is possible but very rare.
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Khanina and Shluinsky 2023:817,,The respective participle is called negative anterior participle.
UT059,Is there a future participle?,1,Khanina and Shluinsky 2023:826,UT059,The posterior participle can be used to express future.
UT060,Are there participles that can encode their subject with possessive suffixes?,1,Khanina and Shluinsky 2023:844,"UT059, UT057",
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Olesya Khanina (p.c. 2020),,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Olesya Khanina (p.c. 2020),,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,0,"Khanina and Shluinsky 2023:827, 800",,
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,"Khanina and Shluinsky 2023:827, 800",,
UT066,Is OV the neutral order in affirmative imperative clauses?,1,Olesya Khanina (p.c. 2020),UT066,"Both OV and VO are present; OV could be more frequent, but a separate study is needed."
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,Olesya Khanina (p.c. 2020),,"Only an adverb, a personal pronoun in the accusative form, or a non-finite complement verb may stand between negative and lexical verbs, though this happens very rarely. All examples with accusative personal pronoun and a negative imperative verb show the O NEG V-CNG order in the corpus."
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Olesya Khanina (p.c. 2020),,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Khanina and Shluinsky 2023:843,,
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Olesya Khanina (p.c. 2020),,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Siegl 2013:179,UT073,"In the predicative position, the stative intransitive verb behaves like a verb."
UT074,Is there a bound superlative degree marker on property words?,0,Olesya Khanina (p.c. 2020),,
UT075,Can adpositions have person/number marking?,1,Khanina and Shluinsky 2023:834-835,UT075,"However, there are postpositions that have never been attested with posessive suffixes."
UT076,Are there adpositions that show a tripartite system?,1,Khanina and Shluinsky 2023:834-835,UT076,
UT077,Is there case compounding?,0,Khanina and Shluinsky 2023:in passim,,
UT078,Are there morphological cases only used with pronouns?,1,Khanina and Shluinsky 2023:808,,"Pronouns have three core cases (NOM, GEN, ACC), while nouns have only two (NOM and OBL)."
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Khanina and Shluinsky 2023:814,,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Khanina and Shluinsky 2023:814,UT080,Occasionally also plural is attested.
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Khanina and Shluinsky 2023:801,,See UT086.
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Khanina and Shluinsky 2023:800-803,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Khanina and Shluinsky 2023:805,UT084,"However, the caritive does not combine with possessive suffixes and personal pronouns, and it does not have number forms."
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,1,Khanina and Shluinsky 2023:801,UT085,
UT086,Is there a locative case that expresses goal?,1,Khanina and Shluinsky 2023:801,UT086,"Dative marks goal and other meanings, e.g., recipient, beneficiary, etc."
UT087,Is there a locative case that expresses location?,1,Khanina and Shluinsky 2023:801,UT087,Locative also has other usages.
UT088,Is there a locative case that expresses source?,1,Khanina and Shluinsky 2023:801,UT088,Ablative also has other usages.
UT089,Is there case syncretism for goal and location marking?,0,Olesya Khanina (p.c. 2020),,
UT090,Is there case syncretism for location and source marking?,0,Olesya Khanina (p.c. 2020),,
UT091,Are there two sets of local cases?,0,Khanina and Shluinsky 2023:800-803,,
UT092,Are there three or more sets of local cases?,0,Khanina and Shluinsky 2023:800-803,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,0,Khanina and Shluinsky 2023:801,,Locative is also used in instrumental and comitative functions.
UT094,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Khanina and Shluinsky 2023:801,,Locative is also used in instrumental and comitative functions.
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Khanina and Shluinsky 2023:805,"UT095-1, UT095-2",The translative is a recent grammaticalization. It is not formed from the stem but from the nominative. The translative does not take possessive suffixes and it is not attested with peronal pronouns.
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Khanina and Shluinsky 2023:805,,There is no separate case. The case is referred to as the essive-translative case.
UT097,Is there a dedicated case that expresses equativity?,0,Olesya Khanina (p.c. 2020),,There is only a similative suffix.
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,1,Khanina and Shluinsky 2014:1392,UT098,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Olesya Khanina (p.c. 2020),,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Siegl 2013:147,,Plural is used.
UT101,Can the marking of the possessor in the attributive construction vary?,1,Ovsjannikova 2020:58-60,"UT101-1, UT101-2",Both nominative as well as oblique can be used to encode nominal possessors.
UT102,Can the possessor in the attributive construction be encoded with the nominative?,1,Ovsjannikova 2020:58-60,UT102,.
UT103,Are singular and plural possessee distinguished in the possessive declension? ,1,Khanina and Shluinsky 2023:804,"UT103-1, UT103-2, UT103-3",
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,1,Khanina and Shluinsky 2017,UT104,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,1,Olesya Khanina (p.c. 2020),UT105,3SG possessive suffixes are used less commonly than 2SG possessive suffixes.
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Khanina and Shluinsky 2023:810; Siegl 2013:195,"UT106-1, UT106-2","The pronoun ʃee 'who' is also used for bear, but it is an exception. For all other non-human referents ɔbu 'what ' is used."
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Khanina and Shluinsky 2023:844,,Relative clauses usually occur before the head noun in the NP.
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Khanina and Shluinsky 2023:844,,Relative clauses usually occur before the head noun in the NP.
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,Khanina and Shluinsky 2023:844,UT109,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Khanina and Shluinsky 2023:804,,"The order becomes apparent from locative forms, and the order is fixed. Core cases (i.e. NOM and OBL) are always fused with possessive forms."
UT111,Are case and number marked cumulatively across the paradigm?,1,Khanina and Shluinsky 2023:804,"UT111-1, UT111-2","The oder becomes apparent from dual forms, whereas singular and plural possession is expressed cumulatively."
UT112,Are there different words for mother’s brother and father’s brother?,0,Shluinsky 2025:18,,See UT113.
UT113,Are there different words for younger and older relatives for relations other than siblings?,1,Shluinsky 2025:18,"UT113-1, UT113-2",
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,?,Olesya Khanina (p.c. 2020),,
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,?,Olesya Khanina (p.c. 2020),,
UT116,Is there contrastive length for consonants?,0,Olesya Khanina (p.c. 2020),,
UT117,Is there contrastive length for vowels?,1,Olesya Khanina (p.c. 2020),UT117,"Enets has double or long vowels. However, cf. Helimski (1984), who analyses them as a sequence of two identical vowel phonemes."
UT118,Is there a contrast between short and long unstressed vowels?,0,Olesya Khanina (p.c. 2020),,
UT119,Is there a contrast in the length of geminate consonants?,0,Olesya Khanina (p.c. 2020),,Nonphonemic.
UT120,Are there more than two phonological quantities?,0,Olesya Khanina (p.c. 2020),,
UT121,Are there extralong syllables?,0,Olesya Khanina (p.c. 2020),,
UT122,Is the main foot structure trochaic?,1,Olesya Khanina (p.c. 2020),,
UT123,Is there lexically distinctive word stress?,0,Olesya Khanina (p.c. 2020),,
UT124,Is there morphologically conditioned stress?,1,Olesya Khanina (p.c. 2020),,There are some affixes that tend to be prominent.
UT125,Is there fixed primary stress?,1,Olesya Khanina (p.c. 2020),,
UT126,Is there stress in heavy syllables?,0,Olesya Khanina (p.c. 2020),,
UT127,Is there non-initial primary stress?,0,Olesya Khanina (p.c. 2020),,
UT128,Is there palatal vowel harmony?,0,Olesya Khanina (p.c. 2020),,
UT129,Is there velar vowel harmony?,1,Olesya Khanina (p.c. 2020),,
UT130,Is there labial vowel harmony?,0,Olesya Khanina (p.c. 2020),,
UT131,Are there closing diphthongs?,1,Olesya Khanina (p.c. 2020),,
UT132,Are there opening diphthongs?,0,Olesya Khanina (p.c. 2020),,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Olesya Khanina (p.c. 2020),,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Olesya Khanina (p.c. 2020),,
UT135,Is there a high front rounded vowel /y/?,0,Olesya Khanina (p.c. 2020),,
UT136,Is there a mid-high front rounded vowel /ø/?,0,Olesya Khanina (p.c. 2020),,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Olesya Khanina (p.c. 2020),,Not a phoneme.
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Olesya Khanina (p.c. 2020),,
UT139,Is there a low back rounded vowel /ɒ/?,0,Olesya Khanina (p.c. 2020),,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Olesya Khanina (p.c. 2020),,
UT141,Are there word-initial consonant clusters?,0,Olesya Khanina (p.c. 2020),,
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Olesya Khanina (p.c. 2020),,
UT143,Are there consonant clusters in the syllable coda?,0,Olesya Khanina (p.c. 2020),,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,0,Olesya Khanina (p.c. 2020),,
UT145,Are there word-final clusters of three or more consonants?,0,Olesya Khanina (p.c. 2020),,
UT146,Are there palatalized alveolar consonants?,1,Olesya Khanina (p.c. 2020),,
UT147,Are there palatalized labial and velar consonants?,1,Olesya Khanina (p.c. 2020),,
UT148,Is there a palatal stop?,0,Olesya Khanina (p.c. 2020),,
UT149,Is there a palatal nasal /ɲ/?,0,Olesya Khanina (p.c. 2020),,
UT150,Is there a palatal lateral /ʎ/?,0,Olesya Khanina (p.c. 2020),,
UT151,Is there a velar nasal /ŋ/?,1,Olesya Khanina (p.c. 2020),,
UT152,Is there an alveolar affricate /t͡s/?,0,Olesya Khanina (p.c. 2020),,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Olesya Khanina (p.c. 2020),,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Olesya Khanina (p.c. 2020),,
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Olesya Khanina (p.c. 2020),,
UT156,Is there a glottal stop /ʔ/?,1,Olesya Khanina (p.c. 2020),,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Olesya Khanina (p.c. 2020),,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Olesya Khanina (p.c. 2020),,
UT159,Is there a laryngeal fricative /h/?,0,Olesya Khanina (p.c. 2020),,
UT160,Is there a voiced velar fricative /ɣ/?,0,Olesya Khanina (p.c. 2020),,Appears as an allophone.
UT161,Is there a voiceless velar fricative /x/?,1,Olesya Khanina (p.c. 2020),,
UT162,Is there a voiced dental fricative /ð/?,0,Olesya Khanina (p.c. 2020),,Very frequent as an allophone.
UT163,Is there a labio-velar approximant /w/?,0,Olesya Khanina (p.c. 2020),,
UT164,Is there a voiceless labiodental fricative /f/?,0,Olesya Khanina (p.c. 2020),,
UT165,Is there radical qualitative consonant gradation?,0,Olesya Khanina (p.c. 2020),,
UT166,Is there quantitative consonant gradation?,0,Olesya Khanina (p.c. 2020),,
