ID,Name,Eastern.Mansi,Source,Example,Comment
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Ulla-Maija Forsberg (p.c. 2020),"UT093-1, UT093-2","In the examples, the case is the same. The ending is either -l or -tǝl. The latter appears in the possessive declension."
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Ulla-Maija Forsberg (p.c. 2020),,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Ulla-Maija Forsberg (p.c. 2020),UT095,The translative endings are -ii and -äg.
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Ulla-Maija Forsberg (p.c. 2020),,
UT097,Is there a dedicated case that expresses equativity?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Ulla-Maija Forsberg (p.c. 2020),,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,1,Ulla-Maija Forsberg (p.c. 2020),,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Ulla-Maija Forsberg (p.c. 2020),,There is no marking on the possesor.
UT102,Can the possessor in the attributive construction be encoded with the nominative?,1,Kulonen 2007:37,UT102,
UT204,Are singular and plural possessee distinguished in the possessive declension? ,1,Kulonen 2007:35,"UT204-1, UT204-2, UT204-3","SG, DU and PL possession have their own series of possessive suffixes."
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Ulla-Maija Forsberg (p.c. 2020),"UT106-1, UT106-2",
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,0,Ulla-Maija Forsberg (p.c. 2020),,Only täw 's/he' can be used to refer to a human referent.
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",1,Ulla-Maija Forsberg (p.c. 2020),"UT110-1, UT110-2","Cx + Px in adverbs, Px + Cx  in nouns."
UT205,Are case and number marked cumulatively across the paradigm?,0,Forsberg 2022:569,,The order of affixes is stem + number + case.
UT112,Are there different words for mother’s brother and father’s brother?,0,Ulla-Maija Forsberg (p.c. 2020),,The word ääk 'uncle' is used in both cases.
UT113,Are there different words for younger and older relatives for relations other than siblings?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,0,Ulla-Maija Forsberg (p.c. 2020),,jälpǝl;;new;|weer;;young;
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Ulla-Maija Forsberg (p.c. 2020),,"Distinction can ve made between ääsyǝrmǝ 'cold (wheather)' vs. poolyǝm 'cold (e.g. water)', whereas reeg 'warm' is used for both."
UT116,Is there contrastive length for consonants?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT117,Is there contrastive length for vowels?,1,Ulla-Maija Forsberg (p.c. 2020),"UT117-1, UT117-2",They also differ in quality.
UT118,Is there a contrast between short and long unstressed vowels?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT119,Is there a contrast in the length of geminate consonants?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT120,Are there more than two phonological quantities?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT121,Are there extralong syllables?,1,Ulla-Maija Forsberg (p.c. 2020),"UT121-1, UT121-2, UT121-3, UT121-4",
UT122,Is the main foot structure trochaic?,1,Ulla-Maija Forsberg (p.c. 2020),,
UT123,Is there lexically distinctive word stress?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT124,Is there morphologically conditioned stress?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT125,Is there fixed primary stress?,?,Ulla-Maija Forsberg (p.c. 2020),,
UT126,Is there stress in heavy syllables?,?,Ulla-Maija Forsberg (p.c. 2020),,
UT127,Is there non-initial primary stress?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT128,Is there palatal vowel harmony?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT129,Is there velar vowel harmony?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT130,Is there labial vowel harmony?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT131,Are there closing diphthongs?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT132,Are there opening diphthongs?,1,Ulla-Maija Forsberg (p.c. 2020),"UT132-1, UT132-2","oå, öä"
UT133,Is there a qualitative contrast between subsets of short and long vowels?,1,Ulla-Maija Forsberg (p.c. 2020),"UT133-1, UT133-2","u - oo, ǝ (i) - ee"
UT134,Are there full vs. reduced vowels as contrastive subsets?,1,Ulla-Maija Forsberg (p.c. 2020),"UT133-1, UT133-2",
UT135,Is there a high front rounded vowel /y/?,1,Ulla-Maija Forsberg (p.c. 2020),UT135,
UT136,Is there a mid-high front rounded vowel /ø/?,0,Ulla-Maija Forsberg (p.c. 2020),,"Phonetically there is, but it represents the phoneme /ü/."
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,1,Ulla-Maija Forsberg (p.c. 2020),UT138,
UT139,Is there a low back rounded vowel /ɒ/?,1,Ulla-Maija Forsberg (p.c. 2020),"UT139-1, UT139-2",
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Ulla-Maija Forsberg (p.c. 2020),"UT140-1, UT140-2",
UT141,Are there word-initial consonant clusters?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT143,Are there consonant clusters in the syllable coda?,1,Ulla-Maija Forsberg (p.c. 2020),"UT143-1, UT143-2, UT143-3, UT143-4",C2 is -t.
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Ulla-Maija Forsberg (p.c. 2020),UT144,
UT145,Are there word-final clusters of three or more consonants?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT146,Are there palatalized alveolar consonants?,1,Ulla-Maija Forsberg (p.c. 2020),"UT146-1, UT146-2, UT146-3, UT146-4, UT146-5","sy, ty, ny, ly"
UT147,Are there palatalized labial and velar consonants?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT148,Is there a palatal stop?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT149,Is there a palatal nasal /ɲ/?,1,Ulla-Maija Forsberg (p.c. 2020),UT149,
UT150,Is there a palatal lateral /ʎ/?,1,Ulla-Maija Forsberg (p.c. 2020),UT150,
UT151,Is there a velar nasal /ŋ/?,1,Ulla-Maija Forsberg (p.c. 2020),UT151,
UT152,Is there an alveolar affricate /t͡s/?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",0,Ulla-Maija Forsberg (p.c. 2020),,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT155,"Are there voiced plosives (e.g., /b g d/)?",0,Ulla-Maija Forsberg (p.c. 2020),,
UT156,Is there a glottal stop /ʔ/?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",1,Ulla-Maija Forsberg (p.c. 2020),"UT157-1, UT157-2, UT157-3, UT157-4",
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT159,Is there a laryngeal fricative /h/?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT160,Is there a voiced velar fricative /ɣ/?,1,Ulla-Maija Forsberg (p.c. 2020),"UT160-1, UT160-2",
UT161,Is there a voiceless velar fricative /x/?,1,Ulla-Maija Forsberg (p.c. 2020),UT161,"In KM (Central Konda) only non-initial positions, in KU (Lower Konda) also in initial positions."
UT162,Is there a voiced dental fricative /ð/?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT163,Is there a labio-velar approximant /w/?,1,Ulla-Maija Forsberg (p.c. 2020),"UT163-1, UT163-2, UT163-3",
UT164,Is there a voiceless labiodental fricative /f/?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT165,Is there radical qualitative consonant gradation?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT166,Is there quantitative consonant gradation?,0,Ulla-Maija Forsberg (p.c. 2020),,
