ID,Name,West.Votic,Source,Example,Comment
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Heinike Heinsoo (p.c. 2019),UT048,
UT049,Does existential negation have a special negator?,0,Heinike Heinsoo (p.c. 2019),,
UT050,Can standard negation be asymmetric in the present tense?,1,Heinike Heinsoo (p.c. 2019),"UT050-1, UT050-2",
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Heinike Heinsoo (p.c. 2019),,
UT052,Is there a special negator that combines with non-finite forms?,0,Heinike Heinsoo (p.c. 2019),,
UT053,Are there special negative non-finite forms?,1,Heinike Heinsoo (p.c. 2019),UT053,
UT054,Is there an impersonal passive construction?,1,Heinike Heinsoo (p.c. 2019),UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Heinike Heinsoo (p.c. 2019),"UT055-1, UT055-2",
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,0,Heinike Heinsoo (p.c. 2019),,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Markus and Rozhanskiy_Votic 2022:in passim,,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",0,Heinike Heinsoo (p.c. 2019),,
UT059,Is there a future participle?,0,Heinike Heinsoo (p.c. 2019),,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Ariste 1968:78-79,,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,1,Heinike Heinsoo (p.c. 2019),UT062,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Heinike Heinsoo (p.c. 2019),,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Ariste 1968:79,UT064,
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Heinike Heinsoo (p.c. 2019),,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,Heinike Heinsoo (p.c. 2019),,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,1,Heinike Heinsoo (p.c. 2019),UT067,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Heinike Heinsoo (p.c. 2019),,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Heinike Heinsoo (p.c. 2019),"UT071-1, UT072-2",
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Heinike Heinsoo (p.c. 2019),"UT072-1, UT072-2",
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Heinike Heinsoo (p.c. 2019),UT073,
UT074,Is there a bound superlative degree marker on property words?,0,Markus and Rozhanskiy_Votic 2011:281,,
UT075,Can adpositions have person/number marking?,0,Ariste 1968:108-111,,
UT076,Are there adpositions that show a tripartite system?,1,Heinike Heinsoo (p.c. 2019),UT076,
UT077,Is there case compounding?,0,Heinike Heinsoo (p.c. 2019),,
UT078,Are there morphological cases only used with pronouns?,1,Markus and Rozhanskiy_Votic 2022:337,UT078,The accusative case is used only with plural personal pronouns (Markus and Rozhanskiy_Votic 2022:337).
UT079,Does the numeral modification of a noun have an effect on its case selection?,1,Heinike Heinsoo (p.c. 2019),UT079,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Heinike Heinsoo (p.c. 2019),UT080,
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Heinike Heinsoo (p.c. 2019),,
UT083,Is there a dedicated case that expresses a terminative meaning?,1,Ariste 1968:34-35,UT083,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Ariste 1968:33,UT084,"The abessive case has often been replaced by construction ilman 'without' + partitive. In recent recordings, abessive only occurs on the supine forms (see Markus and Rozhanskiy_Votic 2022:335)."
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Ariste 1968:37,,"There are some examples of prolatives, e.g., meitsii 'through us, via us', vezittse 'through water, by water'. These are usually regarded as adverbs."
UT086,Is there a locative case that expresses goal?,1,Heinike Heinsoo (p.c. 2019),UT086,
UT087,Is there a locative case that expresses location?,1,Heinike Heinsoo (p.c. 2019),UT087,
UT088,Is there a locative case that expresses source?,1,Heinike Heinsoo (p.c. 2019),UT088,
UT089,Is there case syncretism for goal and location marking?,0,Ariste 1948:30-32,,"Possible due to reduction (Ariste 1948:30-32). In recent Luuditsa Votic, the allative, and the adessive case have coincided (Markus and Rozhanskiy_Votic 2022:334-335)."
UT090,Is there case syncretism for location and source marking?,0,Markus and Rozhanskiy_Votic 2022:334-335,,
UT091,Are there two sets of local cases?,1,Markus and Rozhanskiy_Votic 2022:334-335,,
UT092,Are there three or more sets of local cases?,0,Ariste 1968:17-26,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Ariste 1968:33-34,UT093,
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Heinike Heinsoo (p.c. 2019),,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Heinike Heinsoo (p.c. 2019),UT095,
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",1,Ariste 1968:33-34,UT096,
UT097,Is there a dedicated case that expresses equativity?,0,Heinike Heinsoo (p.c. 2019),,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Heinike Heinsoo (p.c. 2019),,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Heinike Heinsoo (p.c. 2019),,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Heinike Heinsoo (p.c. 2019),,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Heinike Heinsoo (p.c. 2019),,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Heinike Heinsoo (p.c. 2019),,
UT204,Are singular and plural possessee distinguished in the possessive declension? ,0,Heinike Heinsoo (p.c. 2019),,
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Heinike Heinsoo (p.c. 2019),,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,0,Heinike Heinsoo (p.c. 2019),,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Heinike Heinsoo (p.c. 2019),UT106,
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,1,Heinike Heinsoo (p.c. 2019),UT107,"However, kumpa 'which, who, what' is more common."
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Heinike Heinsoo (p.c. 2019); Grünberg 2013,,"Possible, but not common, e.g., pit-i ettsi-ä einä, tšen praavitt-i (must-PST.3SG look_for-INF plant who cure-PST.3SG) 'One had to look for a plant that would cure'."
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,Heinike Heinsoo (p.c. 2019),UT109,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Heinike Heinsoo (p.c. 2019),,
UT205,Are case and number marked cumulatively across the paradigm?,0,Markus and Rozhanskiy_Votic 2022:334-335,,
UT112,Are there different words for mother’s brother and father’s brother?,0,Heinike Heinsoo (p.c. 2019),,
UT113,Are there different words for younger and older relatives for relations other than siblings?,0,Heinike Heinsoo (p.c. 2019),,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,0,Heinike Heinsoo (p.c. 2019),,
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Heinike Heinsoo (p.c. 2019),,
UT116,Is there contrastive length for consonants?,1,Ariste 1968:12,"UT116-1, UT116-2",
UT117,Is there contrastive length for vowels?,1,Ariste 1968:2,"UT117-1, UT117-2",
UT118,Is there a contrast between short and long unstressed vowels?,1,Ariste 1968:2,"UT118-1, UT118-2, UT118-3, UT118-4",
UT119,Is there a contrast in the length of geminate consonants?,0,Markus and Rozhanskiy_Votic 2022:332,,
UT120,Are there more than two phonological quantities?,0,Markus and Rozhanskiy_Votic 2022:332-333,,
UT121,Are there extralong syllables?,1,Ariste 1968:14,UT121,
UT122,Is the main foot structure trochaic?,1,Markus and Rozhanskiy_Votic 2022:332,UT122,
UT123,Is there lexically distinctive word stress?,0,Markus and Rozhanskiy_Votic 2022:332,,
UT124,Is there morphologically conditioned stress?,1,Ariste 1968:15,"UT124-1, UT124-2",
UT125,Is there fixed primary stress?,1,Markus and Rozhanskiy_Votic 2022:332,UT125,
UT126,Is there stress in heavy syllables?,0,Markus and Rozhanskiy_Votic 2022:in passim,,
UT127,Is there non-initial primary stress?,0,Markus and Rozhanskiy_Votic 2022:332,,"There are a few compound words which are no longer treated as compounds, e.g. parˈaiko 'now', sesˈama 'the very one' (Ariste 1968:15)."
UT128,Is there palatal vowel harmony?,1,Markus and Rozhanskiy_Votic 2022:333,UT128,
UT129,Is there velar vowel harmony?,1,Markus and Rozhanskiy_Votic 2022:333,UT129,
UT130,Is there labial vowel harmony?,0,Markus and Rozhanskiy_Votic 2022:333,,
UT131,Are there closing diphthongs?,1,Ariste 1968:3,UT131,
UT132,Are there opening diphthongs?,1,Ariste 1968:3,"UT132-1, UT132-2",
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Markus and Rozhanskiy_Votic 2022:in passim,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Ariste 1968:2,,
UT135,Is there a high front rounded vowel /y/?,1,Markus and Rozhanskiy_Votic 2022:331,UT135,
UT136,Is there a mid-high front rounded vowel /ø/?,1,Markus and Rozhanskiy_Votic 2022:331,UT136,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Markus and Rozhanskiy_Votic 2022:331,,The last Votic speakers used vowel /ɨ/ in Russian loanwords (Markus and Rozhanskiy_Votic 2022:331; see also Ariste 1968:1).
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,1,Markus and Rozhanskiy_Votic 2022:331,UT138,
UT139,Is there a low back rounded vowel /ɒ/?,0,Markus and Rozhanskiy_Votic 2022:331,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Markus and Rozhanskiy_Votic 2022:331,"UT140-1, UT140-2",
UT141,Are there word-initial consonant clusters?,1,Ariste 1968:11,"UT141-1, UT141-2",The occurrence of word-initial consonant clusters is characteristic primarily of loans and onomatopoetic-descriptive words (Ariste 1968:11; see also Markus and Rozhanskiy_Votic 2022:332)
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Heinike Heinsoo and Eva Saar (p.c. 2019),,
UT143,Are there consonant clusters in the syllable coda?,1,Heinike Heinsoo and Eva Saar (p.c. 2019),UT143,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Heinike Heinsoo and Eva Saar (p.c. 2019),UT143,
UT145,Are there word-final clusters of three or more consonants?,0,Heinike Heinsoo and Eva Saar (p.c. 2019),,
UT146,Are there palatalized alveolar consonants?,1,Ariste 1968:11; Markus and Rozhanskiy_Votic 2022:332,"UT146-1, UT146-2",
UT147,Are there palatalized labial and velar consonants?,1,Ariste 1968:11,UT147,
UT148,Is there a palatal stop?,0,Markus and Rozhanskiy_Votic 2022:331,,
UT149,Is there a palatal nasal /ɲ/?,0,Markus and Rozhanskiy_Votic 2022:331,,
UT150,Is there a palatal lateral /ʎ/?,0,Markus and Rozhanskiy_Votic 2022:331,,
UT151,Is there a velar nasal /ŋ/?,0,Markus and Rozhanskiy_Votic 2022:331,,The velar nasal /ŋ/ occurs only as a combinatory phone before /g/ and /k/ (Ariste 1968:8).
UT152,Is there an alveolar affricate /t͡s/?,1,Markus and Rozhanskiy_Votic 2022:331,UT152,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Markus and Rozhanskiy_Votic 2022:331,UT153,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,Ariste 1968:9,,"Only in some descriptive words and loanwords, e.g., šarizõb [ˈʃa.ri.zɤp] sizzle.PRS.3SG"
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Markus and Rozhanskiy_Votic 2022:331,"UT155-1, UT155-2, UT155-3",
UT156,Is there a glottal stop /ʔ/?,0,Markus and Rozhanskiy_Votic 2022:331,,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Markus and Rozhanskiy_Votic 2022:331,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Heinike Heinsoo and Eva Saar (p.c. 2019),,
UT159,Is there a laryngeal fricative /h/?,1,Markus and Rozhanskiy_Votic 2022:331,UT159,
UT160,Is there a voiced velar fricative /ɣ/?,0,Markus and Rozhanskiy_Votic 2022:331,,
UT161,Is there a voiceless velar fricative /x/?,0,Ariste 1968:7-8; Markus and Rozhanskiy_Votic 2022:331,,Only in borrowings (Ariste 1968:8).
UT162,Is there a voiced dental fricative /ð/?,0,Markus and Rozhanskiy_Votic 2022:331,,
UT163,Is there a labio-velar approximant /w/?,0,Markus and Rozhanskiy_Votic 2022:331,,
UT164,Is there a voiceless labiodental fricative /f/?,0,Markus and Rozhanskiy_Votic 2022:331,,"Only in onomatopoetic-descriptive vocabulary, e.g., furskaa 'to snort', and in borrowings (Ariste 1968:9)."
UT165,Is there radical qualitative consonant gradation?,1,Ariste 1968:12-14; Markus and Rozhanskiy_Votic 2022:333-334,"UT165-1, UT165-2",
UT166,Is there quantitative consonant gradation?,1,Ariste 1968:12-14; Markus and Rozhanskiy_Votic 2022:333-334,"UT166-1, UT166-2",
